iter	Passed	Remaining
399	23625	212628
400	23684	212566
401	23738	212469
402	23790	212340
403	23849	212288
404	23901	212164
405	23955	212058
406	24012	211978
407	24071	211926
408	24136	211915
409	24192	211828
410	24251	211776
411	24307	211689
412	24359	211570
413	24424	211561
414	24482	211489
415	24538	211406
416	24604	211412
417	24671	211416
418	24731	211369
419	24786	211273
420	24843	211195
421	24904	211160
422	24961	211080
423	25024	211056
424	25091	211061
425	25151	211011
426	25203	210891
427	25257	210797
428	25320	210771
429	25377	210689
430	25430	210581
431	25492	210549
432	25553	210504
433	25612	210447
434	25662	210317
435	25717	210226
436	25781	210201
437	25841	210153
438	25897	210070
439	25948	209945
440	26002	209850
441	26064	209816
442	26114	209683
443	26169	209589
444	26227	209522
445	26284	209449
446	26345	209407
447	26405	209355
448	26455	209225
449	26509	209128
450	26566	209060
451	26626	209006
452	26677	208884
453	26730	208782
454	26792	208749
455	26848	208664
456	26906	208595
457	26962	208514
458	27021	208462
459	27075	208360
460	27127	208254
461	27185	208185
462	27239	208090
463	27305	208082
464	27358	207982
465	27412	207887
466	27471	207827
467	27529	207767
468	27584	207677
469	27637	207573
470	27692	207490
471	27746	207394
472	27807	207348
473	27872	207336
474	27925	207234
475	27978	207131
476	28031	207031
477	28083	206923
478	28135	206816
479	28193	206754
480	28258	206742
481	28312	206645
482	28368	206568
483	28423	206479
484	28483	206431
485	28534	206320
486	28599	206302
487	28652	206200
488	28712	206154
489	28776	206133
490	28841	206118
491	28910	206132
492	28961	206020
493	29020	205964
494	29078	205900
495	29135	205831
496	29195	205777
497	29250	205696
498	29299	205567
499	29355	205491
500	29412	205418
501	29477	205401
502	29535	205342
503	29599	205316
504	29657	205252
505	29712	205171
506	29767	205083
507	29824	205014
508	29872	204885
509	29938	204874
510	29989	204760
511	30038	204634
512	30095	204570
513	30152	204494
514	30206	204404
515	30256	204290
516	30306	204175
517	30363	204101
518	30418	204018
519	30484	204008
520	30547	203980
521	30607	203934
522	30660	203835
523	30725	203818
524	30790	203804
525	30838	203673
526	30894	203598
527	30953	203545
528	31016	203513
529	31081	203493
530	31148	203492
531	31209	203446
532	31269	203396
533	31319	203281
534	31368	203160
535	31424	203086
536	31479	203002
537	31533	202918
538	31589	202838
539	31657	202845
540	31716	202786
541	31774	202725
542	31828	202632
543	31895	202632
544	31955	202579
545	32007	202479
546	32060	202384
547	32109	202263
548	32171	202230
549	32223	202127
550	32284	202088
551	32352	202088
552	32416	202061
553	32473	201994
554	32526	201897
555	32584	201833
556	32648	201813
557	32703	201732
558	32768	201710
559	32828	201658
560	32893	201638
561	32950	201572
562	33004	201483
563	33063	201429
564	33126	201398
565	33182	201324
566	33241	201265
567	33297	201189
568	33356	201134
569	33411	201057
570	33464	200961
571	33513	200845
572	33560	200719
573	33614	200634
574	33663	200515
575	33719	200442
576	33775	200372
577	33832	200300
578	33885	200212
579	33934	200094
580	33983	199984
581	34038	199901
582	34104	199888
583	34157	199799
584	34215	199737
585	34276	199694
586	34333	199627
587	34396	199595
588	34450	199506
589	34509	199451
590	34565	199381
591	34618	199289
592	34670	199192
593	34729	199137
594	34796	199132
595	34862	199115
596	34922	199063
597	34975	198972
598	35028	198885
599	35084	198809
600	35138	198728
601	35195	198659
602	35260	198641
603	35311	198537
604	35370	198484
605	35423	198394
606	35486	198362
607	35547	198316
608	35609	198277
609	35661	198186
610	35727	198168
611	35778	198065
612	35833	197991
613	35884	197891
614	35950	197876
615	36006	197800
616	36067	197754
617	36120	197671
618	36181	197623
619	36236	197547
620	36293	197479
621	36350	197413
622	36411	197371
623	36467	197296
624	36517	197192
625	36576	197138
626	36634	197078
627	36690	197004
628	36751	196962
629	36806	196888
630	36865	196830
631	36920	196751
632	36975	196678
633	37029	196593
634	37077	196483
635	37141	196450
636	37200	196398
637	37254	196315
638	37305	196220
639	37372	196204
640	37422	196104
641	37486	196071
642	37547	196028
643	37601	195948
644	37661	195898
645	37714	195812
646	37776	195773
647	37830	195688
648	37891	195644
649	37943	195552
650	38001	195494
651	38052	195397
652	38109	195330
653	38167	195274
654	38230	195240
655	38291	195194
656	38355	195162
657	38413	195102
658	38466	195017
659	38519	194930
660	38580	194885
661	38630	194786
662	38685	194711
663	38744	194656
664	38805	194609
665	38867	194569
666	38920	194485
667	38967	194370
668	39030	194334
669	39083	194251
670	39140	194183
671	39192	194096
672	39253	194051
673	39310	193984
674	39365	193911
675	39420	193837
676	39473	193754
677	39530	193689
678	39590	193639
679	39649	193581
680	39707	193521
681	39767	193471
682	39825	193411
683	39884	193357
684	39945	193312
685	39997	193221
686	40053	193155
687	40112	193102
688	40172	193049
689	40236	193017
690	40286	192920
691	40340	192843
692	40399	192785
693	40462	192748
694	40522	192698
695	40578	192633
696	40639	192583
697	40691	192499
698	40758	192481
699	40818	192428
700	40879	192382
701	40940	192338
702	40996	192268
703	41054	192210
704	41109	192136
705	41162	192053
706	41223	192006
707	41291	191992
708	41343	191906
709	41397	191827
710	41453	191759
711	41512	191702
712	41566	191626
713	41627	191579
714	41686	191524
715	41749	191487
716	41803	191410
717	41863	191360
718	41920	191293
719	41975	191222
720	42030	191147
721	42079	191045
722	42139	190995
723	42192	190913
724	42248	190847
725	42304	190777
726	42359	190705
727	42410	190613
728	42469	190557
729	42529	190507
730	42589	190458
731	42647	190400
732	42712	190370
733	42773	190324
734	42823	190231
735	42877	190150
736	42937	190101
737	42992	190031
738	43045	189949
739	43099	189870
740	43154	189799
741	43212	189741
742	43264	189652
743	43320	189586
744	43382	189542
745	43432	189450
746	43484	189362
747	43548	189332
748	43600	189247
749	43657	189183
750	43706	189084
751	43764	189023
752	43819	188952
753	43875	188887
754	43932	188821
755	43988	188753
756	44043	188682
757	44097	188608
758	44153	188539
759	44213	188490
760	44267	188411
761	44325	188355
762	44379	188280
763	44441	188235
764	44496	188163
765	44551	188091
766	44607	188028
767	44652	187911
768	44714	187868
769	44774	187820
770	44825	187731
771	44881	187665
772	44943	187622
773	44998	187553
774	45059	187504
775	45117	187445
776	45178	187399
777	45235	187337
778	45299	187303
779	45358	187248
780	45412	187175
781	45474	187132
782	45532	187074
783	45591	187019
784	45647	186953
785	45707	186902
786	45760	186823
787	45814	186746
788	45876	186703
789	45933	186641
790	45988	186570
791	46042	186494
792	46100	186435
793	46158	186376
794	46214	186313
795	46273	186257
796	46331	186196
797	46395	186162
798	46449	186088
799	46507	186029
800	46558	185943
801	46615	185879
802	46669	185806
803	46724	185736
804	46783	185680
805	46837	185608
806	46902	185576
807	46964	185533
808	47023	185476
809	47090	185455
810	47153	185416
811	47208	185347
812	47267	185291
813	47320	185212
814	47373	185135
815	47428	185063
816	47494	185037
817	47556	184994
818	47611	184925
819	47670	184867
820	47725	184799
821	47781	184730
822	47846	184701
823	47909	184662
824	47969	184609
825	48021	184527
826	48075	184453
827	48127	184373
828	48183	184306
829	48238	184235
830	48289	184152
831	48342	184074
832	48402	184021
833	48457	183952
834	48520	183911
835	48583	183871
836	48637	183798
837	48691	183724
838	48746	183655
839	48800	183581
840	48850	183495
841	48908	183435
842	48962	183362
843	49017	183291
844	49074	183232
845	49128	183157
846	49190	183115
847	49252	183069
848	49304	182991
849	49365	182941
850	49418	182866
851	49474	182801
852	49526	182720
853	49580	182647
854	49632	182566
855	49691	182512
856	49756	182480
857	49819	182437
858	49880	182391
859	49938	182334
860	49989	182250
861	50041	182168
862	50099	182112
863	50161	182067
864	50216	181999
865	50275	181943
866	50332	181882
867	50398	181852
868	50456	181793
869	50514	181735
870	50573	181680
871	50634	181634
872	50685	181550
873	50739	181476
874	50796	181417
875	50852	181351
876	50908	181287
877	50968	181232
878	51025	181172
879	51077	181093
880	51130	181015
881	51191	180969
882	51245	180897
883	51305	180845
884	51357	180765
885	51411	180694
886	51460	180606
887	51515	180535
888	51573	180478
889	51630	180415
890	51681	180333
891	51732	180252
892	51786	180181
893	51843	180118
894	51895	180039
895	51946	179957
896	52008	179913
897	52065	179850
898	52119	179779
899	52179	179730
900	52228	179641
901	52290	179597
902	52349	179542
903	52406	179481
904	52460	179410
905	52519	179355
906	52576	179292
907	52637	179244
908	52693	179180
909	52752	179126
910	52801	179039
911	52854	178961
912	52910	178900
913	52967	178836
914	53022	178771
915	53073	178689
916	53132	178633
917	53181	178547
918	53235	178474
919	53296	178428
920	53350	178355
921	53410	178305
922	53470	178255
923	53526	178189
924	53587	178141
925	53651	178104
926	53712	178057
927	53774	178013
928	53831	177950
929	53880	177863
930	53939	177810
931	53996	177749
932	54050	177675
933	54105	177609
934	54157	177532
935	54212	177464
936	54265	177391
937	54325	177340
938	54393	177314
939	54446	177240
940	54504	177182
941	54565	177136
942	54623	177076
943	54674	176995
944	54733	176942
945	54782	176854
946	54831	176769
947	54891	176718
948	54945	176649
949	55008	176605
950	55066	176550
951	55120	176478
952	55172	176401
953	55221	176314
954	55280	176259
955	55335	176193
956	55381	176097
957	55442	176050
958	55504	176005
959	55559	175939
960	55617	175881
961	55673	175816
962	55730	175756
963	55787	175694
964	55843	175631
965	55902	175578
966	55958	175514
967	56021	175473
968	56071	175389
969	56123	175315
970	56187	175273
971	56245	175216
972	56297	175142
973	56350	175069
974	56406	175003
975	56457	174926
976	56513	174862
977	56563	174780
978	56622	174724
979	56687	174688
980	56737	174606
981	56786	174524
982	56836	174441
983	56890	174371
984	56940	174289
985	56990	174207
986	57046	174144
987	57105	174091
988	57159	174021
989	57214	173955
990	57267	173884
991	57335	173856
992	57391	173792
993	57444	173721
994	57506	173676
995	57556	173593
996	57616	173541
997	57680	173505
998	57734	173433
999	57792	173376
1000	57850	173319
1001	57907	173260
1002	57968	173211
1003	58023	173144
1004	58084	173096
1005	58136	173022
1006	58191	172957
1007	58244	172883
1008	58304	172831
1009	58363	172780
1010	58412	172694
1011	58465	172623
1012	58519	172554
1013	58576	172495
1014	58645	172470
1015	58694	172384
1016	58748	172318
1017	58801	172246
1018	58855	172177
1019	58914	172123
1020	58967	172052
1021	59018	171975
1022	59067	171890
1023	59116	171807
1024	59182	171774
1025	59238	171711
1026	59295	171650
1027	59354	171596
1028	59414	171545
1029	59464	171464
1030	59520	171402
1031	59580	171352
1032	59636	171288
1033	59690	171219
1034	59746	171159
1035	59801	171091
1036	59859	171034
1037	59918	170982
1038	59976	170924
1039	60028	170849
1040	60082	170780
1041	60136	170713
1042	60189	170642
1043	60239	170564
1044	60296	170503
1045	60354	170447
1046	60410	170383
1047	60468	170328
1048	60526	170269
1049	60583	170210
1050	60639	170149
1051	60700	170098
1052	60755	170033
1053	60807	169959
1054	60858	169883
1055	60920	169838
1056	60979	169783
1057	61029	169706
1058	61085	169644
1059	61143	169585
1060	61199	169524
1061	61270	169504
1062	61329	169450
1063	61380	169374
1064	61442	169328
1065	61492	169249
1066	61544	169175
1067	61611	169142
1068	61671	169091
1069	61729	169034
1070	61793	168994
1071	61844	168918
1072	61896	168844
1073	61944	168760
1074	61991	168674
1075	62043	168601
1076	62096	168530
1077	62159	168488
1078	62210	168411
1079	62263	168341
1080	62320	168283
1081	62374	168214
1082	62435	168166
1083	62485	168088
1084	62530	167997
1085	62583	167927
1086	62645	167879
1087	62695	167801
1088	62744	167721
1089	62795	167647
1090	62856	167597
1091	62925	167571
1092	62988	167527
1093	63042	167460
1094	63096	167393
1095	63157	167344
1096	63218	167296
1097	63269	167221
1098	63324	167154
1099	63386	167109
1100	63441	167045
1101	63498	166984
1102	63550	166912
1103	63605	166849
1104	63652	166763
1105	63706	166695
1106	63757	166621
1107	63806	166541
1108	63859	166472
1109	63916	166412
1110	63969	166344
1111	64022	166273
1112	64073	166200
1113	64129	166139
1114	64188	166083
1115	64243	166020
1116	64296	165951
1117	64339	165855
1118	64388	165775
1119	64441	165706
1120	64492	165631
1121	64558	165596
1122	64609	165521
1123	64674	165484
1124	64738	165443
1125	64786	165361
1126	64839	165291
1127	64897	165234
1128	64948	165161
1129	65001	165091
1130	65057	165030
1131	65104	164947
1132	65152	164866
1133	65202	164789
1134	65251	164709
1135	65303	164637
1136	65355	164567
1137	65408	164499
1138	65467	164443
1139	65523	164383
1140	65584	164335
1141	65639	164270
1142	65695	164209
1143	65750	164147
1144	65820	164119
1145	65875	164056
1146	65927	163985
1147	65981	163919
1148	66034	163851
1149	66093	163796
1150	66145	163724
1151	66199	163659
1152	66253	163594
1153	66307	163528
1154	66362	163464
1155	66423	163414
1156	66476	163347
1157	66541	163308
1158	66602	163260
1159	66659	163201
1160	66709	163124
1161	66769	163073
1162	66817	162992
1163	66873	162931
1164	66932	162878
1165	66998	162841
1166	67058	162791
1167	67111	162722
1168	67175	162680
1169	67234	162627
1170	67303	162598
1171	67361	162541
1172	67419	162486
1173	67480	162436
1174	67546	162399
1175	67605	162344
1176	67661	162284
1177	67728	162248
1178	67774	162164
1179	67830	162103
1180	67882	162032
1181	67938	161972
1182	67998	161919
1183	68049	161846
1184	68099	161772
1185	68152	161704
1186	68217	161663
1187	68273	161604
1188	68334	161554
1189	68381	161473
1190	68429	161391
1191	68480	161320
1192	68535	161256
1193	68591	161196
1194	68653	161148
1195	68709	161087
1196	68764	161024
1197	68827	160980
1198	68887	160930
1199	68933	160845
1200	68985	160773
1201	69046	160725
1202	69097	160653
1203	69149	160583
1204	69199	160509
1205	69257	160451
1206	69310	160383
1207	69363	160317
1208	69420	160259
1209	69473	160190
1210	69525	160121
1211	69593	160087
1212	69651	160032
1213	69706	159969
1214	69758	159899
1215	69825	159864
1216	69882	159805
1217	69934	159735
1218	69982	159656
1219	70031	159580
1220	70088	159521
1221	70142	159455
1222	70198	159395
1223	70243	159310
1224	70299	159248
1225	70348	159174
1226	70403	159111
1227	70454	159038
1228	70500	158955
1229	70558	158900
1230	70620	158854
1231	70681	158803
1232	70734	158737
1233	70788	158672
1234	70862	158651
1235	70929	158615
1236	70982	158547
1237	71048	158511
1238	71106	158455
1239	71159	158386
1240	71216	158328
1241	71271	158267
1242	71321	158193
1243	71373	158123
1244	71432	158069
1245	71480	157992
1246	71535	157928
1247	71596	157879
1248	71659	157835
1249	71712	157767
1250	71783	157740
1251	71834	157668
1252	71887	157601
1253	71938	157531
1254	71993	157467
1255	72057	157424
1256	72119	157377
1257	72173	157313
1258	72234	157262
1259	72285	157192
1260	72346	157141
1261	72403	157083
1262	72470	157048
1263	72528	156992
1264	72581	156925
1265	72637	156865
1266	72698	156814
1267	72762	156771
1268	72819	156713
1269	72865	156631
1270	72916	156562
1271	72971	156497
1272	73021	156426
1273	73078	156367
1274	73141	156322
1275	73196	156258
1276	73251	156197
1277	73312	156146
1278	73371	156094
1279	73428	156035
1280	73481	155968
1281	73527	155886
1282	73574	155807
1283	73637	155762
1284	73692	155699
1285	73755	155655
1286	73809	155590
1287	73861	155522
1288	73923	155474
1289	73967	155388
1290	74012	155305
1291	74063	155235
1292	74117	155171
1293	74168	155101
1294	74228	155048
1295	74274	154967
1296	74330	154907
1297	74386	154847
1298	74446	154795
1299	74497	154725
1300	74562	154685
1301	74626	154639
1302	74688	154592
1303	74739	154523
1304	74806	154485
1305	74874	154450
1306	74931	154391
1307	74989	154335
1308	75049	154283
1309	75102	154217
1310	75156	154154
1311	75215	154100
1312	75266	154029
1313	75321	153968
1314	75386	153925
1315	75434	153850
1316	75486	153781
1317	75546	153729
1318	75599	153664
1319	75650	153594
1320	75707	153535
1321	75754	153457
1322	75812	153402
1323	75864	153333
1324	75922	153276
1325	75990	153242
1326	76046	153182
1327	76095	153107
1328	76145	153036
1329	76207	152988
1330	76267	152935
1331	76320	152871
1332	76364	152786
1333	76416	152717
1334	76467	152648
1335	76521	152584
1336	76572	152514
1337	76629	152457
1338	76694	152415
1339	76757	152368
1340	76806	152295
1341	76865	152242
1342	76920	152179
1343	76977	152121
1344	77021	152038
1345	77083	151990
1346	77150	151952
1347	77217	151914
1348	77265	151839
1349	77317	151772
1350	77372	151710
1351	77431	151656
1352	77487	151596
1353	77548	151545
1354	77594	151467
1355	77644	151395
1356	77701	151338
1357	77757	151277
1358	77820	151232
1359	77871	151162
1360	77919	151086
1361	77974	151026
1362	78029	150963
1363	78094	150922
1364	78143	150849
1365	78187	150766
1366	78259	150735
1367	78308	150663
1368	78362	150599
1369	78417	150537
1370	78469	150471
1371	78522	150405
1372	78565	150322
1373	78617	150254
1374	78672	150193
1375	78732	150141
1376	78789	150083
1377	78851	150034
1378	78903	149967
1379	78959	149909
1380	79020	149858
1381	79067	149782
1382	79116	149709
1383	79171	149647
1384	79230	149593
1385	79280	149522
1386	79328	149448
1387	79393	149405
1388	79451	149350
1389	79513	149302
1390	79567	149239
1391	79622	149176
1392	79677	149116
1393	79730	149050
1394	79781	148982
1395	79829	148907
1396	79881	148842
1397	79943	148793
1398	79989	148715
1399	80043	148651
1400	80105	148604
1401	80164	148550
1402	80226	148501
1403	80280	148439
1404	80325	148358
1405	80376	148291
1406	80436	148239
1407	80490	148176
1408	80538	148100
1409	80589	148033
1410	80644	147972
1411	80692	147898
1412	80755	147851
1413	80806	147783
1414	80859	147718
1415	80917	147662
1416	80985	147626
1417	81049	147581
1418	81097	147506
1419	81151	147445
1420	81211	147392
1421	81274	147345
1422	81328	147282
1423	81381	147219
1424	81433	147152
1425	81484	147082
1426	81534	147014
1427	81590	146954
1428	81650	146901
1429	81702	146836
1430	81750	146761
1431	81803	146697
1432	81867	146653
1433	81912	146573
1434	81971	146520
1435	82030	146465
1436	82072	146382
1437	82135	146336
1438	82203	146298
1439	82253	146227
1440	82305	146162
1441	82354	146089
1442	82406	146023
1443	82458	145959
1444	82505	145883
1445	82564	145829
1446	82614	145759
1447	82661	145686
1448	82721	145633
1449	82775	145571
1450	82831	145512
1451	82883	145445
1452	82938	145384
1453	82987	145313
1454	83045	145258
1455	83104	145204
1456	83160	145145
1457	83212	145079
1458	83282	145045
1459	83340	144989
1460	83392	144923
1461	83452	144872
1462	83520	144834
1463	83582	144785
1464	83636	144722
1465	83699	144675
1466	83764	144633
1467	83827	144584
1468	83877	144515
1469	83932	144454
1470	83990	144399
1471	84052	144350
1472	84101	144279
1473	84154	144216
1474	84202	144143
1475	84258	144084
1476	84311	144020
1477	84370	143966
1478	84413	143884
1479	84460	143810
1480	84525	143768
1481	84579	143704
1482	84632	143641
1483	84682	143571
1484	84734	143506
1485	84788	143443
1486	84833	143367
1487	84893	143314
1488	84954	143264
1489	85006	143199
1490	85070	143153
1491	85121	143086
1492	85183	143037
1493	85233	142968
1494	85281	142897
1495	85336	142835
1496	85394	142780
1497	85449	142719
1498	85508	142666
1499	85560	142600
1500	85611	142533
1501	85658	142459
1502	85708	142392
1503	85771	142344
1504	85825	142281
1505	85881	142222
1506	85940	142169
1507	86011	142136
1508	86066	142075
1509	86109	141994
1510	86164	141934
1511	86222	141879
1512	86268	141804
1513	86327	141750
1514	86377	141682
1515	86435	141627
1516	86493	141570
1517	86547	141508
1518	86600	141446
1519	86650	141376
1520	86698	141305
1521	86746	141233
1522	86808	141184
1523	86865	141127
1524	86918	141064
1525	86979	141013
1526	87035	140955
1527	87087	140890
1528	87141	140828
1529	87204	140781
1530	87261	140724
1531	87324	140676
1532	87386	140627
1533	87436	140560
1534	87489	140496
1535	87542	140432
1536	87594	140367
1537	87652	140312
1538	87710	140256
1539	87757	140183
1540	87807	140116
1541	87849	140034
1542	87900	139968
1543	87944	139890
1544	87992	139819
1545	88046	139757
1546	88089	139678
1547	88145	139620
1548	88191	139546
1549	88248	139488
1550	88298	139421
1551	88353	139361
1552	88408	139301
1553	88469	139251
1554	88522	139187
1555	88581	139134
1556	88638	139077
1557	88702	139031
1558	88751	138962
1559	88814	138914
1560	88866	138851
1561	88927	138799
1562	88987	138746
1563	89034	138674
1564	89094	138622
1565	89155	138572
1566	89210	138512
1567	89269	138458
1568	89323	138398
1569	89383	138345
1570	89436	138282
1571	89495	138228
1572	89539	138151
1573	89593	138089
1574	89642	138020
1575	89696	137959
1576	89748	137895
1577	89808	137842
1578	89880	137808
1579	89932	137745
1580	89987	137684
1581	90046	137630
1582	90107	137579
1583	90157	137513
1584	90214	137455
1585	90259	137381
1586	90310	137314
1587	90368	137260
1588	90431	137211
1589	90485	137150
1590	90540	137091
1591	90591	137025
1592	90656	136980
1593	90727	136944
1594	90785	136889
1595	90857	136854
1596	90908	136789
1597	90965	136732
1598	91023	136677
1599	91081	136621
1600	91145	136576
1601	91209	136530
1602	91267	136474
1603	91328	136423
1604	91380	136359
1605	91444	136312
1606	91505	136262
1607	91571	136217
1608	91618	136146
1609	91670	136082
1610	91727	136024
1611	91785	135970
1612	91844	135916
1613	91900	135858
1614	91955	135797
1615	92008	135735
1616	92061	135673
1617	92119	135616
1618	92182	135569
1619	92235	135506
1620	92294	135451
1621	92356	135402
1622	92406	135336
1623	92460	135274
1624	92512	135211
1625	92560	135140
1626	92614	135078
1627	92672	135024
1628	92724	134960
1629	92796	134924
1630	92858	134875
1631	92912	134814
1632	92964	134750
1633	93030	134705
1634	93089	134652
1635	93146	134594
1636	93204	134540
1637	93257	134477
1638	93313	134419
1639	93369	134361
1640	93426	134304
1641	93473	134232
1642	93536	134184
1643	93592	134125
1644	93651	134072
1645	93716	134027
1646	93776	133974
1647	93832	133916
1648	93888	133857
1649	93946	133802
1650	94000	133741
1651	94052	133677
1652	94109	133621
1653	94156	133549
1654	94215	133495
1655	94270	133435
1656	94323	133373
1657	94369	133301
1658	94430	133249
1659	94488	133194
1660	94535	133123
1661	94596	133073
1662	94651	133012
1663	94707	132955
1664	94768	132903
