iter	TotalF1:average=Macro	MultiClass
143	0.4501310342	1.296362366
144	0.4501867597	1.295174881
145	0.4503150588	1.293989159
146	0.4504057278	1.292817123
147	0.4504838289	1.291648881
148	0.4505939603	1.290489312
149	0.4506568382	1.289341126
150	0.4506947784	1.288197276
151	0.4507675218	1.287052884
152	0.4508907116	1.285927193
153	0.4510341907	1.284811394
154	0.4511279449	1.283701829
155	0.4513422817	1.282600394
156	0.451384379	1.281501128
157	0.4515075402	1.280399422
158	0.45150839	1.279320482
159	0.4515639044	1.278239645
160	0.4516437508	1.277161925
161	0.4517136915	1.276088541
162	0.4518082274	1.275034128
163	0.4518698402	1.273988931
164	0.4519689469	1.272930724
165	0.451953048	1.271890134
166	0.451972715	1.270859707
167	0.4518236848	1.269848658
168	0.4520001655	1.268839778
169	0.4520937923	1.267823444
170	0.4521963687	1.266827437
171	0.4522742517	1.265830888
172	0.4522361658	1.264835694
173	0.4522652676	1.263855677
174	0.4523284493	1.262871595
175	0.4524649596	1.261901335
176	0.4525251747	1.260931211
177	0.4527159142	1.259977077
178	0.452626573	1.259036223
179	0.4528302392	1.258093472
180	0.4529752949	1.2571598
181	0.4529792164	1.256220166
182	0.4530573546	1.255297064
183	0.453190887	1.254371929
184	0.4532529475	1.253462242
185	0.453264122	1.252534126
186	0.453268231	1.25162444
187	0.4534003673	1.250723291
188	0.4534690768	1.24983488
189	0.4535861883	1.248939151
190	0.4535570585	1.248062936
191	0.4536649671	1.247177099
192	0.4536396548	1.246313487
193	0.4537073376	1.245452584
194	0.4537698522	1.24460171
195	0.4538537301	1.243754223
196	0.4538348664	1.242909717
197	0.453870562	1.242063721
198	0.4538114734	1.241228159
199	0.4537984983	1.240393817
200	0.4539277784	1.239566793
201	0.4538794319	1.238751964
202	0.4538873418	1.237925752
203	0.4539047022	1.237111466
204	0.4539840973	1.236307072
205	0.4539575395	1.235508369
206	0.4541255206	1.234716035
207	0.4541409239	1.233932509
208	0.4541249386	1.233142886
209	0.4541310264	1.232368846
210	0.4541681421	1.231588302
211	0.4542030135	1.230812094
212	0.4542982547	1.230036428
213	0.4543967955	1.229270519
214	0.4544211357	1.228507049
215	0.4544575376	1.227754691
216	0.4544277241	1.227010735
217	0.4544865158	1.226273012
218	0.4545335116	1.225523364
219	0.4546346361	1.224791604
220	0.4546877352	1.224051713
221	0.4546763648	1.223321715
222	0.454656343	1.222582772
223	0.4547472659	1.22184261
224	0.454812629	1.221133074
225	0.4549087304	1.220427603
226	0.4549405651	1.219711426
227	0.4549314711	1.219006091
228	0.4549911236	1.218308208
229	0.4550200244	1.217605176
230	0.4550827847	1.216911359
231	0.4550360583	1.216227299
232	0.4550824278	1.215550827
233	0.4551528623	1.21487151
234	0.4551837109	1.214181487
235	0.455238065	1.213506506
236	0.4552321758	1.212829763
237	0.4553057314	1.212177412
238	0.4553576175	1.211505548
239	0.4554013062	1.210852926
240	0.4553548624	1.210204641
241	0.4554131761	1.20954958
242	0.4554468442	1.208914439
243	0.4555036368	1.208268999
244	0.4554760577	1.207630742
245	0.4555197736	1.207006848
246	0.45556066	1.20638038
247	0.455657011	1.205755809
248	0.4557022199	1.205119856
249	0.4557634202	1.204503686
250	0.4558256296	1.203886975
251	0.4558542929	1.20327189
252	0.4558846006	1.202665071
253	0.4559096118	1.20206828
254	0.455963257	1.201458208
255	0.4560334336	1.200862501
256	0.4560297689	1.20026571
257	0.4560768652	1.199678676
258	0.4560619832	1.199101127
259	0.4560713486	1.198516126
260	0.4561488815	1.197932073
261	0.4561668373	1.197348291
262	0.4562267007	1.196767625
263	0.4562759514	1.196194142
264	0.4563440563	1.195626757
265	0.4564306031	1.195072787
266	0.4564128154	1.194514888
267	0.4565379969	1.19396661
268	0.4565400906	1.193423752
269	0.4565842701	1.192864362
270	0.4566837039	1.192316897
271	0.4567549804	1.191769974
272	0.4567566274	1.1912282
273	0.4568333094	1.190693066
274	0.4569139109	1.190158475
275	0.4568272791	1.189632421
276	0.4569385392	1.189106637
277	0.4569509407	1.188581938
278	0.4569420071	1.188053987
279	0.4569661971	1.187536334
280	0.4570058999	1.187024915
281	0.4570993384	1.186510785
282	0.4571504279	1.186005058
283	0.4572110777	1.185502989
284	0.4571775414	1.18500363
285	0.4572435698	1.184498987
286	0.4572406333	1.183998138
287	0.4573097427	1.183500947
